text,label
Scientists discover a new species of butterfly in the Amazon rainforest,REAL
Government announces a new scholarship program for engineering students,REAL
Researchers develop an AI system that improves early disease detection,REAL
India successfully launches a new communication satellite into orbit,REAL
A local hospital opens a free health camp for senior citizens,REAL
New renewable energy project reduces electricity costs in rural areas,REAL
Students with high attendance receive academic recognition awards,REAL
Government introduces a nationwide digital education initiative,REAL
Scientists create a new method to recycle plastic waste,REAL
University launches a new online learning platform for students,REAL
Researchers discover a new water purification technology,REAL
A company develops a battery with improved energy efficiency,REAL
Scientists study climate change effects on oceans,REAL
Government starts a rural internet connectivity program,REAL
Doctors perform a successful heart surgery using advanced technology,REAL
A new farming technique increases crop production,REAL
Researchers create an AI tool for language translation,REAL
School introduces new computer science courses for students,REAL
A new solar power plant begins operation in the region,REAL
Scientists find evidence about ancient human migration patterns,REAL
Aliens have secretly taken control of all world governments,FAKE
Drinking only hot water can cure every disease instantly,FAKE
Scientists confirm Earth will stop rotating next month,FAKE
A magic pill guarantees 100 percent exam success without studying,FAKE
Hidden pyramid discovered on the Moon proves aliens built it,FAKE
Eating chocolate increases IQ by 100 points instantly,FAKE
A smartphone app can make people invisible in five seconds,FAKE
Scientists create a machine that can predict every future event,FAKE
A secret formula allows humans to live forever,FAKE
The Sun will disappear for one week next year,FAKE
A person can survive without food or water for ten years,FAKE
Drinking coffee makes people able to fly,FAKE
A new device can read everyone's thoughts from distance,FAKE
Animals can speak human languages after eating a special fruit,FAKE
A hidden city was discovered inside the Earth's core,FAKE
Scientists prove that dreams can predict exact future events,FAKE
A single exercise can increase intelligence permanently,FAKE
A phone charger can make batteries last forever,FAKE
A magic stone can bring unlimited wealth overnight,FAKE
The government will provide free unlimited money to everyone,FAKE
A robot has replaced all human workers worldwide,FAKE
Researchers found a way to stop aging completely next week,FAKE
A new medicine can cure every illness in one day,FAKE
A secret island exists where people never grow old,FAKE
A person can become invisible by drinking a special liquid,FAKE
Scientists discover humans came from another planet,FAKE
A computer virus can make people lose their memories instantly,FAKE
A device can control weather anywhere in the world,FAKE
A new app can guarantee perfect marks without studying,FAKE
A magical plant can provide unlimited energy forever,FAKE
