text,label
"Scientists discover a new species of butterfly in the Amazon rainforest.",REAL
"The government announces a new scholarship program for engineering students.",REAL
"Researchers develop an AI system that improves early disease detection.",REAL
"India successfully launches a new communication satellite into orbit.",REAL
"A local hospital opens a free health camp for senior citizens.",REAL
"Aliens have secretly taken control of every major government in the world.",FAKE
"Drinking only hot water for three days can cure every disease.",FAKE
"Scientists confirm that the Earth will stop rotating next month.",FAKE
"A magic pill guarantees 100% exam success without studying.",FAKE
"Hidden pyramid discovered on the Moon proves ancient civilizations lived there.",FAKE
"New renewable energy project reduces electricity costs in rural areas.",REAL
"Students with 100% attendance receive special academic recognition.",REAL
"Chocolate can instantly increase IQ by 50 points, researchers claim.",FAKE
"Government introduces a nationwide digital education initiative.",REAL
"A secret device can make anyone invisible in five seconds.",FAKE
